Word,Translation,Meaning,Example Sentence,Tag,Dialouge,StartTime,EndTime
hairpiece,مدل مو,{'Noun': ['a covering or bunch of human or artificial hair used for disguise or adornment']},N/A,"season 1 , The One Where It All Began (Pilot)",So does he have a hump and a hairpiece?,"00:01:06,833","00:01:09,358"
wait,صبر کن,"{'Noun': ['time during which some action is awaited', 'the act of waiting (remaining inactive in one place while expecting something'], 'Verb': ['stay in one place and anticipate or expect something', 'wait before acting', 'look forward to the probable occurrence of', 'serve as a waiter or waitress in a restaurant']}","['instant replay caused too long a delay', 'he ordered a hold in the action']","season 1 , The One Where It All Began (Pilot)","Wait, does he eat chalk?","00:01:11,171","00:01:13,605"
eat,خوردن,"{'Verb': ['take in solid food', 'eat a meal; take a meal', 'take in food; used of animals only', 'worry or cause anxiety in a persistent way', 'use up (resources or materials', 'cause to deteriorate due to the action of water, air, or an acid']}","['She was eating a banana', 'What did you eat for dinner last night?']","season 1 , The One Where It All Began (Pilot)","Wait, does he eat chalk?","00:01:11,171","00:01:13,605"
chalk,گچ,"{'Noun': ['a soft whitish calcite', 'a pure flat white with little reflectance', 'an amphetamine derivative (trade name Methedrine', 'a piece of calcite or a similar substance, usually in the shape of a crayon, that is used to write or draw on blackboards or other flat surfaces'], 'Verb': ['write, draw, or trace with chalk']}",N/A,"season 1 , The One Where It All Began (Pilot)","Wait, does he eat chalk?","00:01:11,171","00:01:13,605"
dont,نکن,N/A,N/A,"season 1 , The One Where It All Began (Pilot)",I don't want her to go through what I did with Carl.,"00:01:13,773","00:01:17,072"
want,خواستن,"{'Noun': ['a state of extreme poverty', 'the state of needing something that is absent or unavailable', 'anything that is necessary but lacking', 'a specific feeling of desire'], 'Verb': ['feel or have a desire for; want strongly', 'have need of', 'hunt or look for; want for a particular reason', 'wish or demand the presence of', 'be without, lack; be deficient in']}","['there is a serious lack of insight into the problem', 'water is the critical deficiency in desert regions', 'for want of a nail the shoe was lost']","season 1 , The One Where It All Began (Pilot)",I don't want her to go through what I did with Carl.,"00:01:13,773","00:01:17,072"
relax,آروم باش,"{'Verb': [""become less tense, rest, or take one's ease"", 'make less taut', 'become loose or looser or less tight', 'cause to feel relaxed', 'become less tense, less formal, or less restrained, and assume a friendlier manner', 'make less severe or strict', 'become less severe or strict', 'make less active or fast']}","['He relaxed in the hot tub', ""Let's all relax after a hard day's work""]","season 1 , The One Where It All Began (Pilot)","Okay, everybody relax. This is not even a date.","00:01:17,243","00:01:21,339"
date,تاریخ,"{'Noun': ['the specified day of the month', 'a participant in a date', 'a meeting arranged in advance', 'the present', 'the particular day, month, or year (usually according to the Gregorian calendar', 'a particular day specified as the time something happens', 'sweet edible fruit of the date palm with a single long woody seed'], 'Verb': ['go on a date with', 'stamp with a date', 'assign a date to; determine the (probable', 'date regularly; have a steady relationship with', 'provide with a dateline; mark with a date']}",['what is the date today?'],"season 1 , The One Where It All Began (Pilot)","Okay, everybody relax. This is not even a date.","00:01:17,243","00:01:21,339"
people,مردم,"{'Noun': ['(plural', 'men or women or children', 'the body of citizens of a state or country', 'members of a family line', 'the common people generally'], 'Verb': ['fill with people', 'furnish with people']}","['old people', 'there were at least 200 people in the audience']","season 1 , The One Where It All Began (Pilot)",It's just two people going out to dinner and not having sex.,"00:01:21,514","00:01:25,883"
dinner,شام,"{'Noun': ['the main meal of the day served in the evening or at midday', 'a party of people assembled to have dinner together']}","['dinner will be at 8', 'on Sundays they had a large dinner when they returned from church']","season 1 , The One Where It All Began (Pilot)",It's just two people going out to dinner and not having sex.,"00:01:21,514","00:01:25,883"
sounds,صدا,"{'Noun': ['the particular auditory effect produced by a given cause', 'the subjective sensation of hearing something', 'mechanical vibrations transmitted by an elastic medium', 'the sudden occurrence of an audible event', 'the audible part of a transmitted signal', '(phonetics', 'a narrow channel of the sea joining two larger bodies of water', 'a large ocean inlet or deep bay'], 'Verb': ['appear in a certain way', 'make a certain noise or sound', 'give off a certain sound or sounds', 'announce by means of a sound', 'utter with vibrating vocal chords', 'cause to sound', 'measure the depth of (a body of water']}","['the sound of rain on the roof', 'the beautiful sound of music']","season 1 , The One Where It All Began (Pilot)",Sounds like a date to me.,"00:01:26,119","00:01:29,213"
date,تاریخ,"{'Noun': ['the specified day of the month', 'a participant in a date', 'a meeting arranged in advance', 'the present', 'the particular day, month, or year (usually according to the Gregorian calendar', 'a particular day specified as the time something happens', 'sweet edible fruit of the date palm with a single long woody seed'], 'Verb': ['go on a date with', 'stamp with a date', 'assign a date to; determine the (probable', 'date regularly; have a steady relationship with', 'provide with a dateline; mark with a date']}",['what is the date today?'],"season 1 , The One Where It All Began (Pilot)",Sounds like a date to me.,"00:01:26,119","00:01:29,213"
im,من هستم,N/A,N/A,"season 1 , The One Where It All Began (Pilot)","I'm in high school, in the cafeteria..","00:01:31,057","00:01:33,491"
school,مدرسه,"{'Noun': ['an educational institution', 'a building where young people receive education', 'the process of being formally educated at a school', 'a body of creative artists or writers or thinkers linked by a similar style or by similar teachers', 'the period of instruction in a school; the time period when school is in session', ""an educational institution's faculty and students"", 'a large group of fish'], 'Verb': ['educate in or as if in a school', 'teach or refine to be discriminative in taste or judgment', 'swim in or form a large group of fish']}",['the school was founded in 1900'],"season 1 , The One Where It All Began (Pilot)","I'm in high school, in the cafeteria..","00:01:31,057","00:01:33,491"
cafeteria,کافه تریا,{'Noun': ['a restaurant where you serve yourself and pay a cashier']},N/A,"season 1 , The One Where It All Began (Pilot)","I'm in high school, in the cafeteria..","00:01:31,057","00:01:33,491"
realize,پی بردن,"{'Verb': ['be fully aware or cognizant of', 'perceive (an idea or situation', 'make real or concrete; give reality or substance to', 'earn on some commercial or business transaction; earn as salary or wages', 'convert into cash; of goods and property', 'expand or complete (a part in a piece of baroque music']}","['Now I see!', ""I just can't see your point"", 'Does she realize how important this decision is?', ""I don't understand the idea""]","season 1 , The One Where It All Began (Pilot)",and I realize I'm totally naked.,"00:01:33,660","00:01:36,891"
im,من هستم,N/A,N/A,"season 1 , The One Where It All Began (Pilot)",and I realize I'm totally naked.,"00:01:33,660","00:01:36,891"
totally,کاملا,"{'Adverb': [""to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'""]}","['he was wholly convinced', 'entirely satisfied with the meal', 'it was completely different from what we expected', 'was completely at fault', 'a totally new situation', 'the directions were all wrong', 'it was not altogether her fault', 'an altogether new approach', 'a whole new idea']","season 1 , The One Where It All Began (Pilot)",and I realize I'm totally naked.,"00:01:33,660","00:01:36,891"
naked,برهنه,N/A,"['bare bodies', 'naked from the waist up', 'a nude model']","season 1 , The One Where It All Began (Pilot)",and I realize I'm totally naked.,"00:01:33,660","00:01:36,891"
ive,من داشتم,N/A,N/A,"season 1 , The One Where It All Began (Pilot)",I've had that dream.,"00:01:37,097","00:01:38,758"
dream,رویا,"{'Noun': ['a series of mental images and emotions occurring during sleep', 'imaginative thoughts indulged in while awake', 'a cherished desire', 'a fantastic but vain hope (from fantasies induced by the opium pipe', 'a state of mind characterized by abstraction and release from reality', 'someone or something wonderful'], 'Verb': ['have a daydream; indulge in a fantasy', 'experience while sleeping']}",['I had a dream about you last night'],"season 1 , The One Where It All Began (Pilot)",I've had that dream.,"00:01:37,097","00:01:38,758"
look,نگاه کن,"{'Noun': [""the feelings expressed on a person's face"", 'the act of directing the eyes toward something and perceiving it visually', 'physical appearance', 'the general atmosphere of a place or situation and the effect that it has on people'], 'Verb': [""perceive with attention; direct one's gaze towards"", 'give a certain impression or have a certain outward aspect', 'have a certain outward or facial expression', 'search or seek', 'be oriented in a certain direction, often with respect to another reference point; be opposite to', 'take charge of or deal with', ""convey by one's expression"", 'look forward to the probable occurrence of', 'accord in appearance with', 'have faith or confidence in']}","['a sad expression', 'a look of triumph', 'an angry face']","season 1 , The One Where It All Began (Pilot)",Then I look down and I realize there is a phone..,"00:01:39,299","00:01:42,757"
realize,پی بردن,"{'Verb': ['be fully aware or cognizant of', 'perceive (an idea or situation', 'make real or concrete; give reality or substance to', 'earn on some commercial or business transaction; earn as salary or wages', 'convert into cash; of goods and property', 'expand or complete (a part in a piece of baroque music']}","['Now I see!', ""I just can't see your point"", 'Does she realize how important this decision is?', ""I don't understand the idea""]","season 1 , The One Where It All Began (Pilot)",Then I look down and I realize there is a phone..,"00:01:39,299","00:01:42,757"
phone,تلفن,"{'Noun': ['electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds', '(phonetics', 'electro-acoustic transducer for converting electric signals into sounds; it is held over or inserted into the ear'], 'Verb': ['get or try to get into communication (with someone']}",['I talked to him on the telephone'],"season 1 , The One Where It All Began (Pilot)",Then I look down and I realize there is a phone..,"00:01:39,299","00:01:42,757"
instead,بجای,"{'Adverb': ['in place of, or as an alternative to', 'on the contrary', 'or instead']}","['Felix became a herpetologist instead', 'alternatively we could buy a used car']","season 1 , The One Where It All Began (Pilot)",- Instead of - That's right!,"00:01:47,907","00:01:49,704"
thats,یعنی,N/A,N/A,"season 1 , The One Where It All Began (Pilot)",- Instead of - That's right!,"00:01:47,907","00:01:49,704"
sudden,ناگهانی,{'Adjective': ['happening without warning or in a short space of time']},"['a sudden storm', 'a sudden decision', 'a sudden cure']","season 1 , The One Where It All Began (Pilot)","All of a sudden, the phone starts to ring.","00:01:51,611","00:01:56,207"
phone,تلفن,"{'Noun': ['electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds', '(phonetics', 'electro-acoustic transducer for converting electric signals into sounds; it is held over or inserted into the ear'], 'Verb': ['get or try to get into communication (with someone']}",['I talked to him on the telephone'],"season 1 , The One Where It All Began (Pilot)","All of a sudden, the phone starts to ring.","00:01:51,611","00:01:56,207"
starts,شروع می شود,"{'Noun': ['the beginning of anything', 'the time at which something is supposed to begin', 'a turn to be a starter (in a game at the beginning', 'a sudden involuntary movement', 'the act of starting something', 'a line indicating the location of the start of a race or a game', 'a signal to begin (as in a race', 'the advantage gained by beginning early (as in a race'], 'Verb': ['take the first step or steps in carrying out an action', 'set in motion, cause to start', 'have a beginning, in a temporal, spatial, or evaluative sense', 'bring into being', 'get off the ground', 'move or jump suddenly, as if in surprise or alarm', 'get going or set in motion', 'begin or set in motion', 'begin work or acting in a certain capacity, office or job', 'play in the starting lineup', 'have a beginning characterized in some specified way', 'begin an event that is implied and limited by the nature or inherent function of the direct object', 'bulge outward']}",['it was off to a good start'],"season 1 , The One Where It All Began (Pilot)","All of a sudden, the phone starts to ring.","00:01:51,611","00:01:56,207"
ring,حلقه,"{'Noun': ['a characteristic sound', 'a toroidal shape', 'a rigid circular band of metal or wood or other material used for holding or fastening or hanging or pulling', '(chemistry', 'an association of criminals', 'the sound of a bell ringing', 'a platform usually marked off by ropes in which contestants box or wrestle', 'jewelry consisting of a circlet of precious metal (often set with jewels', 'a strip of material attached to the leg of a bird to identify it (as in studies of bird migration'], 'Verb': ['sound loudly and sonorously', 'ring or echo with sound', 'make (bells', 'get or try to get into communication (with someone', 'extend on all sides of simultaneously; encircle', 'attach a ring to the foot of, in order to identify']}",['it has the ring of sincerity'],"season 1 , The One Where It All Began (Pilot)","All of a sudden, the phone starts to ring.","00:01:51,611","00:01:56,207"
starts,شروع می شود,"{'Noun': ['the beginning of anything', 'the time at which something is supposed to begin', 'a turn to be a starter (in a game at the beginning', 'a sudden involuntary movement', 'the act of starting something', 'a line indicating the location of the start of a race or a game', 'a signal to begin (as in a race', 'the advantage gained by beginning early (as in a race'], 'Verb': ['take the first step or steps in carrying out an action', 'set in motion, cause to start', 'have a beginning, in a temporal, spatial, or evaluative sense', 'bring into being', 'get off the ground', 'move or jump suddenly, as if in surprise or alarm', 'get going or set in motion', 'begin or set in motion', 'begin work or acting in a certain capacity, office or job', 'play in the starting lineup', 'have a beginning characterized in some specified way', 'begin an event that is implied and limited by the nature or inherent function of the direct object', 'bulge outward']}",['it was off to a good start'],"season 1 , The One Where It All Began (Pilot)",What do I do? Everyone starts looking at me.,"00:01:56,416","00:01:59,408"
looking,نگاه کردن,"{'Noun': ['the act of directing the eyes toward something and perceiving it visually', 'the act of searching visually'], 'Verb': [""perceive with attention; direct one's gaze towards"", 'give a certain impression or have a certain outward aspect', 'have a certain outward or facial expression', 'search or seek', 'be oriented in a certain direction, often with respect to another reference point; be opposite to', 'take charge of or deal with', ""convey by one's expression"", 'look forward to the probable occurrence of', 'accord in appearance with', 'have faith or confidence in'], 'Adjective': ['appearing to be as specified; usually used as combining forms']}","['he went out to have a look', 'his look was fixed on her eyes', 'he gave it a good looking at', 'his camera does his looking for him']","season 1 , The One Where It All Began (Pilot)",What do I do? Everyone starts looking at me.,"00:01:56,416","00:01:59,408"
werent,نبودند,N/A,N/A,"season 1 , The One Where It All Began (Pilot)",They weren't looking at you before?,"00:01:59,619","00:02:02,179"
looking,نگاه کردن,"{'Noun': ['the act of directing the eyes toward something and perceiving it visually', 'the act of searching visually'], 'Verb': [""perceive with attention; direct one's gaze towards"", 'give a certain impression or have a certain outward aspect', 'have a certain outward or facial expression', 'search or seek', 'be oriented in a certain direction, often with respect to another reference point; be opposite to', 'take charge of or deal with', ""convey by one's expression"", 'look forward to the probable occurrence of', 'accord in appearance with', 'have faith or confidence in'], 'Adjective': ['appearing to be as specified; usually used as combining forms']}","['he went out to have a look', 'his look was fixed on her eyes', 'he gave it a good looking at', 'his camera does his looking for him']","season 1 , The One Where It All Began (Pilot)",They weren't looking at you before?,"00:01:59,619","00:02:02,179"
finally,سرانجام,"{'Adverb': ['after an unspecified period of time or an especially long delay', 'as the end result of a succession or process', 'the item at the end']}","['ultimately he had to give in', 'at long last the winter was over']","season 1 , The One Where It All Began (Pilot)","Finally, I figure I'd better answer it.","00:02:03,156","00:02:06,922"
figure,شکل,"{'Noun': ['a diagram or picture illustrating textual material', 'alternative names for the body of a human being', 'one of the elements that collectively form a system of numeration', 'a model of a bodily form (especially of a person', 'a well-known or notable person', 'a combination of points and lines and planes that form a visible palpable shape', 'an amount of money expressed numerically', 'the impression produced by a person', 'the property possessed by a sum or total or indefinite quantity of units or individuals', 'language used in a figurative or nonliteral sense', 'a unitary percept having structure and coherence that is the object of attention and that stands out against a ground', 'a decorative or artistic work', 'a predetermined set of movements in dancing or skating'], 'Verb': ['judge to be probable', 'be or play a part of or in', ""imagine; conceive of; see in one's mind"", 'make a mathematical calculation or computation', 'understand']}",['the area covered can be seen from Figure 2'],"season 1 , The One Where It All Began (Pilot)","Finally, I figure I'd better answer it.","00:02:03,156","00:02:06,922"
id,شناسه,"{'Noun': ['a state in the Rocky Mountains', 'a card or badge used to identify the bearer', '(psychoanalysis']}",['you had to show your ID in order to get in'],"season 1 , The One Where It All Began (Pilot)","Finally, I figure I'd better answer it.","00:02:03,156","00:02:06,922"
answer,پاسخ,"{'Noun': ['a statement (either spoken or written', 'a statement that solves a problem or explains how to solve the problem', 'the speech act of replying to a question', ""the principal pleading by the defendant in response to plaintiff's complaint; in criminal law it consists of the defendant's plea of `guilty' or `not guilty' (or nolo contendere"", 'a nonverbal reaction'], 'Verb': ['react verbally', 'respond to a signal', 'give the correct answer or solution to', 'understand the meaning of', 'give a defence or refutation of (a charge', 'an argument', 'be liable or accountable', 'be sufficient; be adequate, either in quality or quantity', 'match or correspond', 'be satisfactory for; meet the requirements of or serve the purpose of', 'react to a stimulus or command']}","['I waited several days for his answer', 'he wrote replies to several of his critics']","season 1 , The One Where It All Began (Pilot)","Finally, I figure I'd better answer it.","00:02:03,156","00:02:06,922"
turns,چرخش,"{'Noun': ['a circular segment of a curve', 'the act of changing or reversing the direction of the course', 'an unforeseen development', 'a movement in a new direction', 'the act of turning away or in the opposite direction', 'turning or twisting around (in place', 'a time period for working (after which you will be relieved by someone else', '(sports', 'a short performance that is part of a longer program', 'a favor for someone', 'taking a short walk out and back'], 'Verb': ['change orientation or direction, also in the abstract sense', 'undergo a transformation or a change of position or action', 'undergo a change or development', 'cause to move around or rotate', 'change to the contrary', 'pass to the other side of', 'pass into a condition gradually, take on a specific property or attribute; become', 'let (something', 'move around an axis or a center', 'cause to move around a center so as to show another side of', 'to send or let go', 'to break and turn over earth especially with a plow', 'shape by rotating on a lathe or cutting device or a wheel', 'change color', 'twist suddenly so as to sprain', 'cause to change or turn into something different;assume new characteristics', 'accomplish by rotating', 'get by buying and selling', 'cause to move along an axis or into a new direction', ""channel one's attention, interest, thought, or attention toward or away from something"", 'cause (a plastic object', 'alter the functioning or setting of', 'direct at someone', 'have recourse to or make an appeal or request for help or information to', 'go sour or spoil', 'become officially one year older']}","['a bend in the road', 'a crook in the path']","season 1 , The One Where It All Began (Pilot)",And it turns out it's my mother.,"00:02:07,127","00:02:10,927"
mother,مادر,"{'Noun': ['a woman who has given birth to a child (also used as a term of address to your mother', 'a stringy slimy substance consisting of yeast cells and bacteria; forms during fermentation and is added to cider or wine to produce vinegar', 'a term of address for an elderly woman', 'a term of address for a mother superior', 'a condition that is the inspiration for an activity or situation'], 'Verb': ['care for like a mother', 'make (offspring']}",['the mother of three children'],"season 1 , The One Where It All Began (Pilot)",And it turns out it's my mother.,"00:02:07,127","00:02:10,927"
weird,عجیب و غریب,"{'Noun': ['fate personified; any one of the three Weird Sisters'], 'Adjective': ['suggesting the operation of supernatural influences', 'strikingly odd or unusual']}","['an eldritch screech', 'the three weird sisters', 'stumps...had uncanny shapes as of monstrous creatures', 'an unearthly light', 'he could hear the unearthly scream of some curlew piercing the din']","season 1 , The One Where It All Began (Pilot)","Which is very, very weird because she never calls me.","00:02:11,131","00:02:15,090"
calls,تماس می گیرد,"{'Noun': ['a telephone connection', 'a special disposition (as if from a divine source', 'a loud utterance; often in protest or opposition', 'the characteristic sound produced by a bird', 'a brief social visit', 'a demand by a broker that a customer deposit enough to bring his margin up to the minimum requirement', 'a demand for a show of hands in a card game', 'a request', 'an instruction that interrupts the program being executed', 'a visit in an official or professional capacity', '(sports', 'the option to buy a given stock (or stock index or commodity future'], 'Verb': ['assign a specified (usually proper', 'ascribe a quality to or give a name of a common noun that reflects a quality', 'get or try to get into communication (with someone', 'utter a sudden loud cry', 'order, request, or command to come', 'pay a brief visit', 'call a meeting; invite or command to meet', 'read aloud to check for omissions or absentees', 'send a message or attempt to reach someone by radio, phone, etc.; make a signal to in order to transmit a message', 'utter a characteristic note or cry', 'stop or postpone because of adverse conditions, such as bad weather', 'greet, as with a prescribed form, title, or name', 'make a stop in a harbour', 'demand payment of (a loan', 'make a demand, as for a card or a suit or a show of hands', 'give the calls (to the dancers', 'indicate a decision in regard to', 'make a prediction about; tell in advance', 'require the presentation of for redemption before maturation', 'challenge (somebody', 'declare in the capacity of an umpire or referee', 'lure by imitating the characteristic call of an animal', 'order or request or give a command for', 'order, summon, or request for a specific duty or activity, work, role', 'utter in a loud voice or announce', 'challenge the sincerity or truthfulness of', 'consider or regard as being', 'rouse somebody from sleep with a call']}","['she reported several anonymous calls', 'he placed a phone call to London', ""he heard the phone ringing but didn't want to take the call""]","season 1 , The One Where It All Began (Pilot)","Which is very, very weird because she never calls me.","00:02:11,131","00:02:15,090"
says,می گوید,"{'Noun': ['the chance to speak'], 'Verb': ['express in words', 'report or maintain', 'express a supposition', 'have or contain a certain wording or form', 'give instructions to or direct somebody to do something with authority', 'speak, pronounce, or utter in a certain way', 'communicate or express nonverbally', 'utter aloud', ""state as one's opinion or judgement; declare"", 'recite or repeat a fixed text', 'indicate']}",['let him have his say'],"season 1 , The One Where It All Began (Pilot)","He says, ""Hello,"" I want to kill myself.","00:02:24,844","00:02:27,472"
want,خواستن,"{'Noun': ['a state of extreme poverty', 'the state of needing something that is absent or unavailable', 'anything that is necessary but lacking', 'a specific feeling of desire'], 'Verb': ['feel or have a desire for; want strongly', 'have need of', 'hunt or look for; want for a particular reason', 'wish or demand the presence of', 'be without, lack; be deficient in']}","['there is a serious lack of insight into the problem', 'water is the critical deficiency in desert regions', 'for want of a nail the shoe was lost']","season 1 , The One Where It All Began (Pilot)","He says, ""Hello,"" I want to kill myself.","00:02:24,844","00:02:27,472"
kill,کشتن,"{'Noun': ['the act of terminating a life', 'the destruction of an enemy plane or ship or tank or missile', 'the body of an animal, or bodies of animals, killed by a person or another animal'], 'Verb': ['cause to die; put to death, usually intentionally or knowingly', 'thwart the passage of', 'end or extinguish by forceful means', 'be fatal', 'be the source of great pain for', 'overwhelm with hilarity, pleasure, or admiration', 'hit with so much force as to make a return impossible, in racket games', 'hit with great force', 'deprive of life', 'cause the death of, without intention', 'drink down entirely', 'mark for deletion, rub off, or erase', 'tire out completely', 'cause to cease operating', 'destroy a vitally essential quality of or in']}",['the pilot reported two kills during the mission'],"season 1 , The One Where It All Began (Pilot)","He says, ""Hello,"" I want to kill myself.","00:02:24,844","00:02:27,472"
feel,احساس کنید,"{'Noun': ['an intuitive awareness', 'the general atmosphere of a place or situation and the effect that it has on people', 'a property perceived by touch', 'manual stimulation of the genital area for sexual pleasure'], 'Verb': ['undergo an emotional sensation or be in a particular state of mind', 'come to believe on the basis of emotion, intuitions, or indefinite grounds', 'perceive by a physical sensation, e.g., coming from the skin or muscles', 'be conscious of a physical, mental, or emotional state', ""have a feeling or perception about oneself in reaction to someone's behavior or attitude"", 'undergo passive experience of', 'be felt or perceived in a certain way', 'grope or feel in search of something', 'examine by touch', 'examine (a body part', 'find by testing or cautious exploration', 'produce a certain impression', ""pass one's hands over the sexual organs of""]}","['he has a feel for animals', ""it's easy when you get the feel of it""]","season 1 , The One Where It All Began (Pilot)",I feel like someone pulled my intestine out of my mouth..,"00:02:30,550","00:02:35,214"
pulled,کشیده,"{'Verb': ['cause to move by pulling', 'direct toward itself or oneself by means of some psychological power or physical attributes', 'move into a certain direction', 'apply force so as to cause motion towards the source of the motion', 'perform an act, usually with a negative connotation', 'bring, take, or pull out of a container or from under a cover', 'steer into a certain direction', 'strain abnormally', 'cause to move in a certain direction by exerting a force upon, either physically or in an abstract sense', 'operate when rowing a boat', 'rein in to keep from winning a race', 'tear or be torn violently', 'hit in the direction that the player is facing when carrying through the swing', 'strip of feathers', 'remove, usually with some force or effort; also used in an abstract sense', 'take sides with; align oneself with; show strong sympathy for', 'take away']}","['draw a wagon', 'pull a sled']","season 1 , The One Where It All Began (Pilot)",I feel like someone pulled my intestine out of my mouth..,"00:02:30,550","00:02:35,214"
intestine,روده,{'Noun': ['the part of the alimentary canal between the stomach and the anus']},N/A,"season 1 , The One Where It All Began (Pilot)",I feel like someone pulled my intestine out of my mouth..,"00:02:30,550","00:02:35,214"
